DISTRICT NAME,Predicted_CH4_ppb,CH4_Annual_Average,In_Situ,Ex_Situ,Prime_Mover,General,CRM,SMAM,CDP,Total_Machines
AMRITSAR,1908.9037751697358,1909.4579251629534,1.9841269841269842,0.1865079365079365,0.4246031746031746,0.5436507936507936,2.488095238095238,0.5833333333333334,0.06746031746031746,6.277777777777778
BARNALA,1910.733895989913,1910.2110116767135,5.291139240506329,0.22784810126582278,0.5949367088607594,0.9367088607594937,6.493670886075949,0.4810126582278481,0.0759493670886076,14.10126582278481
BATHINDA,1907.9114198426942,1907.6234437261787,2.7477477477477477,0.3783783783783784,0.5675675675675675,1.1801801801801801,4.081081081081081,0.6486486486486487,0.14414414414414414,9.747747747747749
FARIDKOT,1909.670982485912,1909.3369722996767,3.901639344262295,0.21311475409836064,0.8360655737704918,1.098360655737705,5.0,0.8852459016393442,0.16393442622950818,12.098360655737705
FATEHGARH SAHIB,1904.2179277792745,1903.1760589471235,2.3563218390804597,0.1839080459770115,0.6781609195402298,0.8390804597701149,3.2298850574712645,0.8275862068965517,0.0,8.114942528735632
FAZILKA,1909.2597325051477,1909.2187274337618,3.6589147286821704,0.2248062015503876,0.8837209302325582,0.9069767441860465,4.147286821705427,1.4573643410852712,0.06976744186046512,11.348837209302326
FIROZEPUR,1912.405235198607,1912.5663612879973,5.265060240963855,0.4457831325301205,0.7951807228915663,1.1325301204819278,6.698795180722891,0.8313253012048193,0.10843373493975904,15.27710843373494
GURDASPUR,1901.590106036212,1901.6236992945164,1.8175675675675675,0.19256756756756757,0.3716216216216216,0.36486486486486486,2.4966216216216215,0.24662162162162163,0.0033783783783783786,5.493243243243243
HOSHIARPUR,1899.664503221388,1899.0389095145201,1.0562770562770563,0.12121212121212122,0.4069264069264069,0.3852813852813853,1.2857142857142858,0.6623376623376623,0.021645021645021644,3.9393939393939394
JALANDHAR,1910.2504036931082,1910.9373952294459,4.091286307053942,0.5145228215767634,0.7634854771784232,0.7800829875518672,5.385892116182573,0.7427385892116183,0.02074688796680498,12.298755186721992
KAPURTHALA,1910.7925464771413,1911.5860290105077,2.274074074074074,0.1259259259259259,0.2740740740740741,0.5333333333333333,2.637037037037037,0.5333333333333333,0.037037037037037035,6.4148148148148145
LUDHIANA,1909.8063913173776,1909.7464559527577,1.529100529100529,0.20634920634920634,0.49206349206349204,0.955026455026455,2.2195767195767195,0.8148148148148148,0.14814814814814814,6.365079365079365
MANSA,1906.9883617644614,1906.8469749054173,3.9645390070921986,0.41134751773049644,0.7730496453900709,1.3617021276595744,5.574468085106383,0.7943262411347518,0.14184397163120568,13.02127659574468
MOGA,1911.1561257302224,1910.9541835014863,1.7837837837837838,0.09009009009009009,0.3153153153153153,0.6396396396396397,2.09009009009009,0.5225225225225225,0.21621621621621623,5.657657657657658
PATHANKOT,1894.8636265345983,1893.8500662903252,1.5142857142857142,0.08571428571428572,0.2857142857142857,0.11428571428571428,1.7142857142857142,0.2857142857142857,0.0,4.0
PATIALA,1908.3598613229028,1907.6182298638782,1.9625668449197862,0.25133689839572193,0.7005347593582888,0.9090909090909091,2.7058823529411766,1.0481283422459893,0.06951871657754011,7.647058823529412
RUPNAGAR,1900.9617803046044,1899.4051033924934,1.5,0.22340425531914893,0.3723404255319149,0.3191489361702128,1.9893617021276595,0.425531914893617,0.0,4.829787234042553
S.A.S Nagar,1903.0283373455668,1902.717098421855,2.186046511627907,0.09302325581395349,0.38372093023255816,0.2441860465116279,2.6627906976744184,0.2441860465116279,0.0,5.813953488372093
SANGRUR,1910.7999298223392,1910.6213775816059,3.98326359832636,0.301255230125523,0.899581589958159,1.707112970711297,5.489539748953975,1.2803347280334727,0.12133891213389121,13.782426778242678
SRI MUKTSAR SAHIB,1908.2138753255208,1907.8636071249593,5.155555555555556,0.7555555555555555,1.1888888888888889,2.422222222222222,7.433333333333334,1.5,0.5888888888888889,19.044444444444444
Shahid Bhagat Singh Nagar,1905.752045120018,1905.4376306372637,0.9420289855072463,0.2463768115942029,0.2753623188405797,0.4782608695652174,1.5217391304347827,0.391304347826087,0.028985507246376812,3.8840579710144927
Tarn Taran,1914.7208844353172,1915.861175495405,2.607843137254902,0.3088235294117647,0.553921568627451,0.8431372549019608,3.6862745098039214,0.5049019607843137,0.12254901960784313,8.627450980392156
